lang_code,COMET,chrF++,precision,resource_level
hi_IN,0.36546634899112646,13.045037349749808,fp16,mid
de_DE,0.5315438672332821,36.856452718513296,fp16,high
fr_FR,0.5756964117199004,42.78660489138596,fp16,high
th_TH,0.3876436368556682,12.590937227368922,fp16,low
it_IT,0.5934457348319954,42.23844645507233,fp16,mid
sw_KE,0.3847404624781532,17.29947433006974,fp16,low
hi_IN,0.36737433286432275,13.758039294323929,int8,mid
de_DE,0.5393803985808082,36.78037603421077,int8,high
fr_FR,0.5902495942487268,43.550055079060996,int8,high
th_TH,0.37433179143913287,11.80128762924782,int8,low
it_IT,0.6034352850758719,42.38711806612683,int8,mid
sw_KE,0.3802745062447263,17.13915838937173,int8,low
hi_IN,0.3526442593975153,13.225179138919094,int4,mid
de_DE,0.5341583587572666,36.528984069965325,int4,high
fr_FR,0.5755340975218403,42.46171583076181,int4,high
th_TH,0.3793632482329686,11.792649597065756,int4,low
it_IT,0.5978235520556838,42.13688691398735,int4,mid
sw_KE,0.3827578667887227,17.489000910660256,int4,low
