segment_id,COMET,chrF++,is_bad_source,src_length,length_group_2,length_group_3
0,0.5792930722236633,32.47558629299072,True,3,short,short
1,0.4561186730861664,40.1360352387799,False,9,short,short
2,0.6915721893310547,46.84897785031297,False,29,short,medium
3,0.7916770577430725,58.728298655159726,False,66,long,long
4,0.7283238768577576,50.493357657642,False,126,long,long
5,0.7663089036941528,52.952578853288735,False,16,short,medium
6,0.7239366769790649,55.34889250633387,False,9,short,short
7,0.6941026449203491,56.494183902650505,False,107,long,long
8,0.6643256545066833,45.8917919980307,False,88,long,long
9,0.8583213686943054,66.83735134096698,False,77,long,long
10,0.8970120549201965,79.71561508541434,False,28,short,medium
11,0.5743759274482727,4.3336147862591385,False,6,short,short
12,0.8811661601066589,45.86252917872943,False,31,short,medium
13,0.878845751285553,61.53214928375402,False,46,long,long
14,0.5845934748649597,21.95417718507294,False,59,long,long
15,0.6633923649787903,54.25773513004239,False,88,long,long
16,0.8310548067092896,62.9997038562072,False,54,long,long
17,0.7438634037971497,56.27082203604784,False,60,long,long
18,0.7209113836288452,51.14457974850688,False,64,long,long
19,0.4261169731616974,31.22974753398364,False,8,short,short
20,0.4962149560451507,35.820514293725694,False,9,short,short
21,0.7604019045829773,51.92179192329852,False,93,long,long
22,0.4582285583019256,35.78533320304083,False,79,long,long
23,0.6275226473808289,24.089260096018165,False,116,long,long
24,0.7889479994773865,50.926974205868746,False,70,long,long
25,0.7799883484840393,52.61219759853427,False,124,long,long
26,0.4920713603496551,20.497530390059605,False,8,short,short
27,0.6901245713233948,48.47976280679303,False,43,long,long
28,0.6109957098960876,49.98263394776249,False,43,long,long
29,0.8193793296813965,59.66327539418073,False,38,long,long
30,0.5634884238243103,48.02781711624486,False,43,long,long
31,0.6176069378852844,50.98491889889778,False,75,long,long
32,0.7534242272377014,52.20312220193467,False,53,long,long
33,0.786114513874054,57.117677851318064,False,53,long,long
34,0.866483747959137,49.26683824153842,False,48,long,long
35,0.8309174180030823,59.50082693100004,False,48,long,long
36,0.856665313243866,52.35338357550534,False,51,long,long
37,0.5268982648849487,35.609080712964584,False,50,long,long
38,0.6694814562797546,41.534526446973125,False,52,long,long
39,0.4580037891864776,29.793837285894448,False,10,short,short
40,0.6596857309341431,49.32627194540487,False,73,long,long
41,0.788214385509491,44.1112366334719,False,152,long,long
42,0.8360190391540527,51.804586203379145,False,96,long,long
43,0.3337168395519256,17.297026967023253,False,8,short,short
44,0.7509621381759644,46.79030525541681,False,42,long,long
45,0.5927905440330505,26.961451115723605,False,59,long,long
46,0.6623945832252502,59.09424407085434,False,78,long,long
47,0.566848874092102,40.24600328878199,False,72,long,long
48,0.793180525302887,59.552508044139906,False,37,long,medium
49,0.6553856730461121,41.702619159354235,False,43,long,long
50,0.7760651707649231,59.83119942501458,False,37,long,medium
51,0.7872864007949829,49.60157197766454,False,67,long,long
52,0.7980995774269104,58.61488738698672,False,73,long,long
53,0.6364366412162781,55.8413998570643,False,56,long,long
54,0.720926821231842,37.87414680185884,False,49,long,long
55,0.6531047224998474,41.92035548575605,False,80,long,long
56,0.7387110590934753,46.78700765284356,False,59,long,long
57,0.4476538002490997,29.37796132920037,False,10,short,short
58,0.7355935573577881,39.75378157796826,False,32,short,medium
59,0.8407116532325745,60.999921214082974,False,29,short,medium
60,0.7241431474685669,46.60151912826481,False,48,long,long
61,0.8965045809745789,64.36817243600343,False,29,short,medium
62,0.7256852388381958,51.00759582494507,False,73,long,long
63,0.809263288974762,50.868685149051274,False,49,long,long
64,0.77034991979599,43.45640874159659,False,35,long,medium
65,0.8801766037940979,61.8524086696636,False,71,long,long
66,0.4503212869167328,24.750123286436967,False,7,short,short
67,0.7594245076179504,63.529316926268685,False,40,long,long
68,0.5080779194831848,52.59258353895798,False,70,long,long
69,0.543078601360321,35.09228177641587,False,16,short,medium
70,0.4174366593360901,23.50766913906296,False,15,short,medium
71,0.7938054800033569,57.80758100775447,False,39,long,long
72,0.8256486058235168,54.0792784311842,False,72,long,long
73,0.8113437294960022,60.23265163785913,False,64,long,long
74,0.8203044533729553,53.91677879670591,False,96,long,long
75,0.4706253707408905,32.88503113001892,False,49,long,long
76,0.8582311272621155,51.799482868316005,False,37,long,medium
77,0.887066662311554,64.87706593011518,False,74,long,long
78,0.7101465463638306,48.03187042521718,False,15,short,medium
79,0.5395581722259521,27.38153499973468,False,15,short,medium
80,0.6762188076972961,47.31982053622387,False,54,long,long
81,0.808410108089447,45.31388040813637,False,73,long,long
82,0.8108366131782532,53.17177212810795,False,64,long,long
83,0.5214011073112488,30.3707811281106,False,66,long,long
84,0.7285665273666382,49.431664554457114,False,45,long,long
85,0.7787407636642456,46.40174613360518,False,49,long,long
86,0.4391312301158905,36.92796018504265,False,12,short,short
87,0.3428938388824463,21.49997785607002,False,12,short,short
88,0.6784683465957642,28.25316135475627,False,26,short,medium
89,0.8227673768997192,46.72054847753382,False,68,long,long
90,0.8146505951881409,53.504902338817914,False,72,long,long
91,0.8733158707618713,57.15789745415907,False,91,long,long
92,0.8465372920036316,46.42880671735547,False,34,long,medium
93,0.5835822820663452,24.855220836228614,False,54,long,long
94,0.4368543922901153,8.595401703814405,False,10,short,short
95,0.8218361735343933,62.44947569913147,False,45,long,long
96,0.6101149916648865,41.64712482318688,False,136,long,long
97,0.7436097264289856,52.158616945340896,False,66,long,long
98,0.6594210267066956,49.5127162116292,False,76,long,long
99,0.8336743116378784,26.391470624043485,False,17,short,medium
100,0.574638843536377,25.31022703449815,False,79,long,long
101,0.6218296885490417,31.820794021955468,False,149,long,long
102,0.5011469721794128,39.85768453965879,False,14,short,medium
103,0.7680578827857971,48.930829233396985,False,18,short,medium
104,0.8045045137405396,48.91371157806113,False,32,short,medium
105,0.7458858489990234,46.73805532771076,False,90,long,long
106,0.7374384999275208,49.41739525958205,False,56,long,long
107,0.7613102793693542,47.05670607742932,False,70,long,long
